,RELIANCE.NS,TCS.NS,INFY.NS,HDFCBANK.NS,ICICIBANK.NS,HINDUNILVR.NS,ITC.NS,KOTAKBANK.NS,LT.NS,SBIN.NS
RELIANCE.NS,11876.240010229467,7377.6854752156205,-5364.4622662203565,-7569.803690551524,-4661.230787099661,8229.396893336914,468.1355777753693,-5261.661137996689,7313.663952450796,1759.6971918682282
TCS.NS,7377.6854752156205,81216.9980664458,41263.97465153351,-3329.97524551225,966.829122170075,34575.488934917325,6364.414388536964,-18531.93651990078,28506.233435367867,6281.862547796823
INFY.NS,-5364.4622662203565,41263.97465153351,34598.9926974161,9199.775882365433,8464.146829853666,19306.419365734928,4079.1876288187477,-1579.3714871119228,9498.790431284211,2396.323508847389
HDFCBANK.NS,-7569.803690551524,-3329.97524551225,9199.775882365433,20941.951848645127,14944.500097759712,3998.46365578283,1696.2590342077044,12731.188273174628,227.03500885317914,3110.565525781641
ICICIBANK.NS,-4661.230787099661,966.829122170075,8464.146829853666,14944.500097759712,13408.421040067245,2960.487202916215,1324.0068010123045,9424.949122336251,171.27388452690818,3718.0117318585417
HINDUNILVR.NS,8229.396893336914,34575.488934917325,19306.419365734928,3998.46365578283,2960.487202916215,39190.37789226352,5732.601478841172,-2934.100549883337,12851.02797887975,3380.221004964927
ITC.NS,468.1355777753693,6364.414388536964,4079.1876288187477,1696.2590342077044,1324.0068010123045,5732.601478841172,1137.2915117991597,-516.2788886125658,2854.247171348488,791.8489031570854
KOTAKBANK.NS,-5261.661137996689,-18531.93651990078,-1579.3714871119228,12731.188273174628,9424.949122336251,-2934.100549883337,-516.2788886125658,17963.153141840972,-9038.283095685643,-976.7213603761928
LT.NS,7313.663952450796,28506.233435367867,9498.790431284211,227.03500885317914,171.27388452690818,12851.02797887975,2854.247171348488,-9038.283095685643,28547.699759782085,4519.103285516309
SBIN.NS,1759.6971918682282,6281.862547796823,2396.323508847389,3110.565525781641,3718.0117318585417,3380.221004964927,791.8489031570854,-976.7213603761928,4519.103285516309,3715.0119176195544
